NIT,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,Año de Corte,id_razon_social,id_supervisor
900067169,Centro - Oriente,SANTANDER,MALAGA-SANTANDER,8610,SERVICIOS,$0.03,$0.01,$0.04,$0.01,$0.03,2021,5810,2
900242864,Centro - Oriente,NORTE DE SANTANDER,CUCUTA-NORTE DE SANTANDER,4661,COMERCIO,$0.03,$0.01,$0.02,$0.00,$0.02,2021,1078,1
900138369,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,2511,MANUFACTURA,$0.03,$0.00,$0.05,$0.02,$0.03,2021,2565,1
891301862,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,2712,MANUFACTURA,$0.03,$0.00,$0.02,$0.01,$0.01,2021,5203,1
811030871,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,1011,MANUFACTURA,$0.03,$0.00,$0.01,$0.00,$0.00,2021,5363,1
800243923,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4663,COMERCIO,$0.03,$0.00,$0.01,$0.01,$0.00,2021,5384,1
830504499,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,4111,CONSTRUCCIÓN,$0.03,$0.00,$0.03,$0.02,$0.02,2021,8909,1
900145767,Costa Pacífica,CAUCA,BOLIVAR-CAUCA,8621,SERVICIOS,$0.03,$0.00,$0.03,$0.01,$0.02,2021,5902,2
830104247,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,1090,MANUFACTURA,$0.03,$0.00,$0.01,$0.01,$0.00,2021,4769,1
830002560,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4659,COMERCIO,$0.03,-$0.00,$0.05,$0.01,$0.04,2021,4046,1
800042641,Antioquia,ANTIOQUIA,SABANETA -ANTIOQUIA,4659,COMERCIO,$0.03,$0.00,$0.05,$0.02,$0.03,2021,4931,1
901242654,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,8610,SERVICIOS,$0.03,$0.00,$0.02,$0.01,$0.00,2021,5335,2
830032559,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,2022,MANUFACTURA,$0.03,$0.00,$0.03,$0.02,$0.01,2021,5645,1
800158193,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4645,COMERCIO,$0.03,$0.00,$0.02,$0.00,$0.01,2021,6531,1
900526085,Costa Atlántica,ATLANTICO,MALAMBO-ATLANTICO,4659,COMERCIO,$0.03,$0.00,$0.02,$0.02,$0.00,2021,4265,1
830136561,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,125,AGROPECUARIO,$0.03,$0.00,$0.02,$0.01,$0.01,2021,5117,1
890113551,Costa Atlántica,ATLANTICO,PUERTO COLOMBIA-ATLANTICO,4210,CONSTRUCCIÓN,$0.03,$0.00,$0.09,$0.07,$0.03,2021,5712,1
900495729,Bogotá - Cundinamarca,CUNDINAMARCA,CHIA-CUNDINAMARCA,4755,COMERCIO,$0.03,$0.00,$0.03,$0.02,$0.01,2021,5347,1
